Date,APR,Fix/Var.,Annual Fee,VISA/MC,BK,sale,Accounts
April ’91,16.8,Fixed,20,MC,210,1,1533
April ’91,16.8,Fixed,20,MC,210,0,165467
April ’91,16.8,Fixed,0,MC,210,1,2896
April ’91,16.8,Fixed,0,MC,210,0,78104
April ’91,19.8,Fixed,20,MC,210,0,142410
April ’91,19.8,Fixed,20,MC,210,1,590
April ’91,19.8,Fixed,0,MC,210,0,97948
April ’91,19.8,Fixed,0,MC,210,1,2052
Sept. ’91,14.9,Fixed,20,Visa,255,0,172671
Sept. ’91,14.9,Fixed,20,Visa,255,1,4329
Sept. ’91,14.9,Var.,20,Visa,255,0,166996
Sept. ’91,14.9,Var.,20,Visa,255,1,3004
Sept. ’91,16.8,Fixed,20,Visa,255,0,252017
Sept. ’91,16.8,Fixed,20,Visa,255,1,2983
Sept. ’91,19.8,Fixed,20,Visa,255,0,34825
Sept. ’91,19.8,Fixed,20,Visa,255,1,175
Sept. ’91,16.8,Fixed,0,Visa,255,0,62484
Sept. ’91,16.8,Fixed,0,Visa,255,1,2516
Sept. ’91,19.8,Fixed,0,Visa,255,0,92885
Sept. ’91,19.8,Fixed,0,Visa,255,1,2115
Nov. ’91,14.9,Fixed,20,Visa,190,0,80239
Nov. ’91,14.9,Fixed,20,Visa,190,1,1761
Nov. ’91,14.9,Fixed,0,Visa,190,0,47549
Nov. ’91,14.9,Fixed,0,Visa,190,1,2451
Nov. ’91,14.9,Var.,20,Visa,190,0,49292
Nov. ’91,14.9,Var.,20,Visa,190,1,708
Nov. ’91,16.8,Fixed,20,Visa,190,0,49628
Nov. ’91,16.8,Fixed,20,Visa,190,1,372
