APR,Fixed_Var,Fee,BK,LTV
14.9,Fixed,20,150,83
14.9,Var.,20,150,93
14.9,Fixed,0,150,52
14.9,Var.,0,150,62
14.9,Fixed,20,200,63
14.9,Var.,20,200,73
14.9,Fixed,0,200,32
14.9,Var.,0,200,42
14.9,Fixed,20,250,33
14.9,Var.,20,250,43
14.9,Fixed,0,250,2
14.9,Var.,0,250,12
16.8,Fixed,20,150,103
16.8,Var.,20,150,113
16.8,Fixed,0,150,72
16.8,Var.,0,150,82
16.8,Fixed,20,200,83
16.8,Var.,20,200,93
16.8,Fixed,0,200,52
16.8,Var.,0,200,62
16.8,Fixed,20,250,53
16.8,Var.,20,250,63
16.8,Fixed,0,250,22
16.8,Var.,0,250,32
19.8,Fixed,20,150,131
19.8,Var.,20,150,141
19.8,Fixed,0,150,100
19.8,Var.,0,150,110
19.8,Fixed,20,200,111
19.8,Var.,20,200,121
19.8,Fixed,0,200,80
19.8,Var.,0,200,90
19.8,Fixed,20,250,81
19.8,Var.,20,250,91
19.8,Fixed,0,250,50
19.8,Var.,0,250,60
